Day,Myopic_Profit,ADP_Profit
1,607185.7999999998,584301.2000000001
2,480614.87500000006,594013.125
3,625714.85,616765.15
4,590621.4750000001,600024.8999999999
5,646867.4,591713.725
6,616265.0,619370.0249999999
7,615715.725,635667.8500000001
8,618844.65,642294.5750000001
9,575621.9500000001,608258.675
10,527973.525,616124.35
11,571150.125,620796.5499999999
12,543744.7,629677.0
13,591521.4749999999,654352.3
14,655635.75,630803.1
15,640991.3749999999,622393.55
16,607487.45,608126.7749999999
17,655621.3999999999,597809.125
18,579430.3,658227.575
19,559251.0,609702.1500000001
20,551751.9249999999,609057.1
21,550780.2250000001,624570.25
22,618185.2,642533.65
23,630236.1499999999,641795.2999999999
24,574763.95,598022.3250000001
25,594889.2,675139.4
26,493281.29999999993,620440.9
27,605089.8250000001,643201.05
28,595570.325,601238.025
29,568068.0,624228.375
30,523535.85,590175.0500000002
